sample_index,mean_longitude_deg_0,period_days_0,k_0,h_0,inclination_deg_0,longitude_of_ascending_node_deg_0,mass_planet_star_ratio_0,radius_planet_star_ratio_0,mean_longitude_deg_1,period_days_1,k_1,h_1,inclination_deg_1,longitude_of_ascending_node_deg_1,mass_planet_star_ratio_1,radius_planet_star_ratio_1,mean_longitude_deg_2,period_days_2,k_2,h_2,inclination_deg_2,longitude_of_ascending_node_deg_2,mass_planet_star_ratio_2,radius_planet_star_ratio_2,mass_star_m_sun,radius_star_r_sun,BJD2454900+dt
35.0,54.0,45.153946820756936,-0.036548893620946,-0.07397202901686,90.0,0.0,1.0221117883887992e-05,0.07414,213.13879628270453,85.31279117650803,0.0061920795576056,-0.0466142971450015,90.0,0.0,8.965977981099927e-06,0.094,289.5576475482052,130.18495446516644,0.0007850417634633,-0.0381839565641132,90.0,0.0,1.79469809996013e-05,0.10141,1.04,0.94,87.03944086765837
36.0,54.0,45.15375812418299,-0.0351420182167875,-0.0544028773899153,90.0,0.0,1.0721144930618228e-05,0.07414,212.5227784000988,85.31520657829768,0.0126390393747501,-0.0337214538331436,90.0,0.0,1.0324621743543616e-05,0.094,289.3389877161856,130.18338105733895,0.0033229499482156,-0.0255980862375034,90.0,0.0,1.7563303926832172e-05,0.10141,1.04,0.94,87.06952020178538
37.0,54.0,45.15464470976652,0.0010215262991817,-0.0761551662329254,90.0,0.0,9.153938881319714e-06,0.07414,212.8566428819609,85.31144927188865,0.027889556582527,-0.0815487735012178,90.0,0.0,1.037984920832492e-05,0.094,289.1148387614022,130.1844763428511,0.0175254923987703,-0.0657441253523319,90.0,0.0,1.7816471480916754e-05,0.10141,1.04,0.94,87.60973386906862
38.0,54.00000000000006,45.1539769763733,-0.0180912592521983,-0.0431504256378895,90.0,0.0,5.146713131801705e-06,0.07414,212.34918079028245,85.31301514995289,0.0232287379288744,-0.0310215234188721,90.0,0.0,1.1507299933644997e-05,0.094,288.8484368297232,130.18470813113044,0.0136283817726716,-0.0230977473632325,90.0,0.0,1.893451168786211e-05,0.10141,1.04,0.94,87.32645485676757
39.0,54.0,45.15434016781909,-0.0191896603889585,-0.0597576471530567,90.0,0.0,3.621236722626562e-07,0.07414,214.4400768792644,85.31291847735548,0.0046683659849757,-0.0103882423162016,90.0,0.0,1.1065506668396811e-05,0.094,290.4104341379943,130.18626129749612,-0.0002150127796426,-0.0064983642535868,90.0,0.0,1.4835988556614208e-05,0.10141,1.04,0.94,87.30683811913524
40.0,53.99999999999994,45.15407489046364,-0.0254793745876231,-0.0329424219499857,90.0,0.0,5.824501568689174e-06,0.07414,214.57025242588443,85.31115587336019,0.0003766695186614,-0.00018339390426,90.0,0.0,1.156540482104588e-05,0.094,290.4646598926832,130.18659404374216,-0.002750118538732,0.0021093638492396,90.0,0.0,2.1984322795360152e-05,0.10141,1.04,0.94,87.22029861223069
41.0,54.00000000000006,45.15413979806289,-0.0122358074897913,-0.0287592790611464,90.0,0.0,5.023947795971924e-07,0.07414,212.28500092792493,85.31108740970636,0.0274977708536577,0.0058547252740709,90.0,0.0,1.1910009107719188e-05,0.094,288.2696762375962,130.1895799015989,0.0212509227753319,0.0044814609328117,90.0,0.0,1.530038580517319e-05,0.10141,1.04,0.94,87.41587315145651
42.0,54.0,45.15409439400148,-0.0296244052846779,-0.0538193292941108,90.0,0.0,9.40677828596533e-06,0.07414,214.26142401859005,85.31075698148457,0.000646119594735,0.0002699121984559,90.0,0.0,1.0240339457420012e-05,0.094,290.17552990227364,130.18754097698184,-0.001803077917749,-0.0002478999889183,90.0,0.0,1.7411929834172874e-05,0.10141,1.04,0.94,87.15316379975846
43.0,54.0,45.15411690633899,-0.0127591069175583,-0.0198003081199704,90.0,0.0,6.276199540413672e-06,0.07414,214.3784421787407,85.30945770985618,0.0088726848597587,0.0014197750287423,90.0,0.0,1.4831360019610407e-05,0.094,290.257337698678,130.18793319595017,0.0036298677170759,0.003353978390635,90.0,0.0,2.8345155105693067e-05,0.10141,1.04,0.94,87.41036631634746
44.0,54.0,45.15394654162407,-0.0249139979519742,-0.0295665894710069,90.0,0.0,1.5158102267403075e-05,0.07414,213.3642706103477,85.3127735204473,0.0115073266579262,0.0052095470681775,90.0,0.0,1.166981686959281e-05,0.094,289.78212717041094,130.1854617460802,0.0034458058923683,0.0049943092417736,90.0,0.0,1.9593179696849235e-05,0.10141,1.04,0.94,87.22949118055362
45.0,54.0,45.15435315574219,-0.0162420629627181,-0.027540961009311,90.0,0.0,5.344090065236226e-06,0.07414,214.7200970742317,85.3096667462981,0.00389429135447,0.0042960259844762,90.0,0.0,1.1791040390906991e-05,0.094,290.41196511446424,130.18860149374854,0.0010431679927437,0.0037399278158985,90.0,0.0,2.0215282019793832e-05,0.10141,1.04,0.94,87.35661307460413
46.0,54.00000000000006,45.15369235563517,-0.0496079816300119,-0.080896246518194,90.0,0.0,6.530762947717167e-06,0.07414,212.5167099365405,85.31169746293456,0.0039020412873046,-0.033397556426999,90.0,0.0,8.316028229631455e-06,0.094,289.1393485709781,130.18491928297593,-0.0004308161622658,-0.0269905871782364,90.0,0.0,1.8828838091248236e-05,0.10141,1.04,0.94,86.83726145733401
47.0,54.0,45.15373190359982,-0.0246471093779924,-0.0496816167490137,90.0,0.0,6.162732811390648e-06,0.07414,211.7213381147252,85.31212866239014,0.0249585420291263,-0.0213433229164125,90.0,0.0,1.045859813541049e-05,0.094,288.4549555242109,130.1843890475483,0.014756105795647,-0.0161769568058061,90.0,0.0,2.293145023061267e-05,0.10141,1.04,0.94,87.22801661666163
48.0,53.99999999999994,45.1542667638649,-0.0070877227202924,-0.0229683282333684,90.0,0.0,6.43920568747061e-08,0.07414,212.4743407328241,85.31134359387079,0.0286061632610608,0.0063751452687483,90.0,0.0,1.1896376405598518e-05,0.094,288.60022075634214,130.18749909821915,0.0201881432215313,0.0063891183836628,90.0,0.0,1.8835012756802852e-05,0.10141,1.04,0.94,87.49130007075904
49.0,54.00000000000006,45.15353477100852,-0.031599715217885,-0.0466406115000411,90.0,0.0,1.5225954552502477e-05,0.07414,210.8149216789124,85.3165513681872,0.0297565530954448,-0.008465529602566,90.0,0.0,9.950790008447636e-06,0.094,287.99805211174754,130.1828267908096,0.0164345476949595,-0.0057102518138979,90.0,0.0,1.9258895782596877e-05,0.10141,1.04,0.94,87.12552902499709
50.0,53.99999999999994,45.15390052885788,-0.029676925266322,-0.0396125625251155,90.0,0.0,1.3092592825345508e-05,0.07414,213.71572448383785,85.31141991197966,0.0055527770902967,0.0023841954066956,90.0,0.0,1.097594208718354e-05,0.094,289.90073303650115,130.186596746932,0.0006972054442755,0.0022921400001671,90.0,0.0,2.102989073197353e-05,0.10141,1.04,0.94,87.15709658614976
51.0,53.99999999999994,45.15384486382168,-0.034263208156102,-0.0437381640368802,90.0,0.0,6.973289695241533e-06,0.07414,213.42089691317665,85.31316725448617,0.0055729635928356,-0.0023763882632735,90.0,0.0,1.060185649967603e-05,0.094,289.88397275344454,130.18519626604024,-0.0009065999168385,-0.0005055953662927,90.0,0.0,1.7919988626224545e-05,0.10141,1.04,0.94,87.08734509321926
52.0,54.0,45.1539328034791,-0.0276472668141487,-0.0495703836885071,90.0,0.0,1.1819123620756155e-05,0.07414,212.5372460333484,85.31372235594085,0.016796377745333,-0.0207576604485977,90.0,0.0,9.97970342227698e-06,0.094,288.92996489651426,130.18511597369317,0.0095932707518295,-0.01648372325836,90.0,0.0,1.7178297935358636e-05,0.10141,1.04,0.94,87.18227776243555
53.0,54.0,45.15387544121393,-0.0266030084743243,-0.036157334360287,90.0,0.0,1.5778491878112555e-05,0.07414,214.35345180009992,85.3094868537493,0.0016410178974314,-0.0167468283888384,90.0,0.0,1.2709191669211464e-05,0.094,290.2595577643621,130.18716990540128,-0.0013598602433507,-0.0119674671727779,90.0,0.0,2.653649661332988e-05,0.10141,1.04,0.94,87.20272479323627
54.0,54.0,45.15460481400623,-0.0109797378476857,-0.0343610469940659,90.0,0.0,8.471482575653336e-06,0.07414,215.5718681293089,85.3122427555136,-0.0005009577403,-9.643755480989442e-05,90.0,0.0,1.3094118900069566e-05,0.094,291.4256024299375,130.18600137450954,-0.0060354659027961,0.0022660688884894,90.0,0.0,1.534856894510917e-05,0.10141,1.04,0.94,87.43331864369556
55.0,54.0,45.15398800909505,-0.0384172211245753,-0.0711454488720414,90.0,0.0,3.55639448748384e-06,0.07414,212.99894545701656,85.313391322549,0.0064264823089165,-0.0131063109041056,90.0,0.0,8.783756525458971e-06,0.094,289.7058953777972,130.18452204803626,-0.0011591256160677,-0.0111038937009257,90.0,0.0,1.3350204630735124e-05,0.10141,1.04,0.94,87.01301779821145
56.0,54.0,45.15434782201198,-0.0089133476144179,-0.0431098036836223,90.0,0.0,1.037460829619333e-05,0.07414,213.78726510552016,85.31296803683504,0.0160668470726279,-0.0161481980005919,90.0,0.0,1.1405366218999804e-05,0.094,289.9834567502694,130.18361711153275,0.0071930729900702,-0.0103548263788892,90.0,0.0,1.8589962413118547e-05,0.10141,1.04,0.94,87.46354759283417
57.0,54.0,45.154198388390526,-0.0155545929659044,-0.0509435901610269,90.0,0.0,1.9375698880573926e-07,0.07414,213.4067950100068,85.31047209157207,0.0154671704114062,-0.0091696100234896,90.0,0.0,1.124412990164398e-05,0.094,289.2613468872957,130.18944434763975,0.0112406220521318,-0.0080592437323258,90.0,0.0,1.5222078383736468e-05,0.10141,1.04,0.94,87.36398431254655
58.0,53.99999999999994,45.15388031545904,-0.037731771591079,-0.0750775077545926,90.0,0.0,5.107627614443023e-06,0.07414,211.19050609509048,85.31333806330687,0.0222408539559215,-0.0202777462360745,90.0,0.0,8.306915093202211e-06,0.094,288.05913722128014,130.18521318135458,0.0132900102067132,-0.0178030817352329,90.0,0.0,1.3274450054003791e-05,0.10141,1.04,0.94,87.02128921082522
59.0,54.0,45.15359480179302,-0.0411469072547605,-0.0452259967295413,90.0,0.0,1.168489395831959e-05,0.07414,212.94938802192743,85.31353505298648,0.0061898962601815,0.0049417871070994,90.0,0.0,1.04271237751701e-05,0.094,289.5415126062716,130.18524248110865,-0.0003945580700848,0.0047759105011657,90.0,0.0,2.103069676813616e-05,0.10141,1.04,0.94,86.984528738783
60.0,53.99999999999994,45.154082847500895,-0.0183139398644446,-0.020715965918246,90.0,0.0,9.868453378173882e-06,0.07414,214.00870368441028,85.31175712883841,0.0091478598676268,-0.004945378517172,90.0,0.0,1.3499441147754068e-05,0.094,290.06630460969154,130.18628131543375,0.0032930335077374,-0.0012758331369507,90.0,0.0,2.0221430356622604e-05,0.10141,1.04,0.94,87.32853516488535
61.0,53.99999999999994,45.15361784736039,-0.0307296283779867,-0.0307547146509651,90.0,0.0,8.919618888365957e-06,0.07414,213.40924470250567,85.31290384496478,0.007741468475956,-0.0065814754016239,90.0,0.0,1.3093802946906026e-05,0.094,289.80631116408085,130.18625763469674,0.0011628494455086,-0.0032468625759055,90.0,0.0,2.182730412917102e-05,0.10141,1.04,0.94,87.1442711349997
62.0,54.00000000000006,45.15332743888981,-0.021589054028089,-0.0318866811219367,90.0,0.0,1.3129393656402035e-06,0.07414,210.43110623777076,85.3119811982727,0.0379927822890517,-0.0156420554372572,90.0,0.0,1.2707206231558834e-05,0.094,287.15501999188984,130.186831758212,0.0272946145012065,-0.0111654883377557,90.0,0.0,1.913468130378577e-05,0.10141,1.04,0.94,87.27808257659659
63.0,54.0,45.1542232668001,-0.0262752675352048,-0.0477279464801965,90.0,0.0,6.783593144815168e-06,0.07414,214.7898622396078,85.31154715872613,-0.0021330714862284,-0.00254116306888,90.0,0.0,9.954780740214944e-06,0.094,290.750484852722,130.1851272475176,-0.0057015488316198,-0.000625969655091,90.0,0.0,1.9451142934509447e-05,0.10141,1.04,0.94,87.2035950112834
64.0,54.0,45.15396689968113,-0.0289659604226643,-0.0402767934758942,90.0,0.0,1.292123125329894e-05,0.07414,214.1055566364246,85.31309079850604,0.0026837485232735,-0.0025791923867276,90.0,0.0,1.1633376282036991e-05,0.094,290.36890058550875,130.18563683470083,-0.0032101511504455,-0.0008690313306087,90.0,0.0,1.7709997067915363e-05,0.10141,1.04,0.94,87.16685714958828
65.0,54.00000000000006,45.15423328730567,-0.0198599349242699,-0.0649456530370051,90.0,0.0,3.8949806800276025e-06,0.07414,213.8191526135828,85.31018787242203,0.0090866187253816,-0.039143695552892,90.0,0.0,1.0007674515562302e-05,0.094,289.7929177652751,130.18579885812508,0.0047747098059276,-0.0304782911343938,90.0,0.0,2.0320457698414747e-05,0.10141,1.04,0.94,87.29502637470966
